Category,State,Rank,HS Code,Description,Value2017,Value2018,Value2019,Value2020,Share2017,Share2018,Share2019,Share2020,
Import,TX,25,841810,COMBINED REFRIGERATOR-FREEZERS FITTED WITH SEPARAT,1303,1424,1245,1198,0.5,0.5,0.4,0.5,
Import,TX,-1,0,Total_25,118800,147483,139868,109113,45.2,48.6,47.4,44,
Export,TX,1,270900,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS,",17081,38630,57167,43465,6.4,12.2,17.4,15.6,
Export,TX,2,271019,"PETROLEUM OILS, OILS FROM BITUMINOUS MINERALS (OTH",23225,28237,25053,18329,8.8,8.9,7.6,6.6,
Export,TX,3,271012,LIGHT OILS AND PREPARATIONS CONTAINING GT=70% BY W,19068,24836,22483,16973,7.2,7.9,6.8,6.1,
Export,TX,4,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEGRATED",5840,6271,9083,10528,2.2,2,2.8,3.8,
Export,TX,5,271112,"PROPANE, LIQUEFIED",10936,12865,10388,9376,4.1,4.1,3.2,3.4,
Export,TX,6,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7420,8618,10303,6050,2.8,2.7,3.1,2.2,
Export,TX,7,847330,PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSIN,9588,10784,9816,5928,3.6,3.4,3,2.1,
Export,TX,8,848620,MACHINES AND APPARATUS FOR THE MANUFACTURE OF SEMI,3684,3770,3846,4640,1.4,1.2,1.2,1.7,
Export,TX,9,271111,"NATURAL GAS, LIQUEFIED",754,731,1726,4323,0.3,0.2,0.5,1.5,
Export,TX,10,271121,"NATURAL GAS, GASEOUS",2128,2466,3567,3924,0.8,0.8,1.1,1.4,
Export,TX,11,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",5040,4521,4240,3792,1.9,1.4,1.3,1.4,
Export,TX,12,390140,"ETHYLENE-ALPHA-OLEFIN COPOLYMERS, HAVING A SPECIFI",1188,2099,2716,3060,0.4,0.7,0.8,1.1,
Export,TX,13,390120,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF 0.94 OR,1914,2620,2953,2789,0.7,0.8,0.9,1,
Export,TX,14,271113,"BUTANES, LIQUEFIED",1528,2547,1991,2576,0.6,0.8,0.6,0.9,
Export,TX,15,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",2944,2793,2545,2432,1.1,0.9,0.8,0.9,
Export,TX,16,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",2711,2997,2482,2363,1,0.9,0.8,0.8,
Export,TX,17,852351,SOLID-STATE NON-VOLATILE SEMICONDUCTOR STORAGE DEV,317,566,941,2327,0.1,0.2,0.3,0.8,
Export,TX,18,520100,"COTTON, NOT CARDED OR COMBED",3133,3301,2798,2187,1.2,1,0.9,0.8,
Export,TX,19,847150,DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.,1549,1748,1983,1885,0.6,0.6,0.6,0.7,
Export,TX,20,711291,"WASTE AND SCRAP OF GOLD, INCLUDING METAL CLAD WITH",238,235,448,1839,0.1,0.1,0.1,0.7,
Export,TX,21,851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRE,2040,1226,1571,1727,0.8,0.4,0.5,0.6,
Export,TX,22,840820,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON EN,1548,1984,2030,1621,0.6,0.6,0.6,0.6,
Export,TX,23,390110,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THA,1497,1667,1675,1578,0.6,0.5,0.5,0.6,
Export,TX,24,290919,ACYCLIC ETHERS (EXCLUDING DIETHYL ETHER) AND THEIR,2188,2482,2081,1370,0.8,0.8,0.6,0.5,
Export,TX,25,870324,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,1333,1639,1570,1320,0.5,0.5,0.5,0.5,
Export,TX,-1,0,Total_25,128895,169636,185456,156403,48.6,53.7,56.4,56,
Export,AL,1,870323,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,3453,2746,2983,2859,15.8,12.8,14.3,16.7,
Export,AL,2,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",1142,2068,2192,1331,5.2,9.7,10.5,7.8,
Export,AL,3,870333,PASSENGER MOTOR VEHICLES WITH COMPRESSION-IGNITION,1692,1419,1534,1035,7.8,6.6,7.4,6,
Export,AL,4,270112,"BITUMINOUS COAL, WHETHER OR NOT PULVERIZED, BUT NO",1400,1648,1357,954,6.4,7.7,6.5,5.6,
Export,AL,5,870324,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,2177,1940,1360,705,10,9.1,6.5,4.1,
Export,AL,6,470321,"CHEMICAL WOODPULP, SODA OR SULFATE, OTHER THAN DIS",428,471,422,424,2,2.2,2,2.5,
Export,AL,7,870332,PASSENGER MOTOR VEHICLES WITH COMPRESSION-IGNITION,401,297,829,387,1.8,1.4,4,2.3,
Export,AL,8,390740,"POLYCARBONATES, IN PRIMARY FORMS",360,445,400,381,1.6,2.1,1.9,2.2,
Export,AL,9,840734,SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PR,555,495,462,381,2.5,2.3,2.2,2.2,
Export,AL,10,481039,"KRAFT PAPER AND PAPERBOARD (NOT FOR WRITING, PRINT",335,361,347,359,1.5,1.7,1.7,2.1,
Export,AL,11,120190,"SOYBEANS, OTHER THAN SEED",210,154,84,303,1,0.7,0.4,1.8,
Export,AL,12,870340,"PASSENGER MOTOR VEHICLES, WITH BOTH APRK-IG INTRNL",9,0,11,275,0,0,0.1,1.6,
Export,AL,13,870370,"MOTOR VEHICLES, WITH BOTH COMPRESSION-IGNITION INT",0,0,3,251,0,0,0,1.5,
Export,AL,14,271019,"PETROLEUM OILS, OILS FROM BITUMINOUS MINERALS (OTH",189,408,350,217,0.9,1.9,1.7,1.3,
Export,AL,15,382499,CHEMICAL PRODUCTS AND PREPARATIONS OF THE CHEMICAL,361,365,275,214,1.7,1.7,1.3,1.2,
Export,AL,16,20714,CHICKEN CUTS AND EDIBLE OFFAL (INCLUDING LIVERS) F,165,176,179,182,0.8,0.8,0.9,1.1,
Export,AL,17,930690,"BOMBS, GRENADES, TORPEDOES, MINES, MISSILES AND SI",340,188,123,174,1.6,0.9,0.6,1,
Export,AL,18,870829,PARTS AND ACCESSORIES OF BODIES (INCLUDING CABS) F,151,173,148,170,0.7,0.8,0.7,1,
Export,AL,19,381519,"SUPPORTED CATALYSTS, NESOI",125,173,198,140,0.6,0.8,1,0.8,
Export,AL,20,440711,"PINE WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PE",0,38,141,111,0,0.2,0.7,0.7,
Export,AL,21,840820,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON EN,86,144,124,106,0.4,0.7,0.6,0.6,
Export,AL,22,293090,"ORGANO-SULFUR COMPOUNDS, NESOI",87,108,91,93,0.4,0.5,0.4,0.5,
Export,AL,23,292122,"HEXAMETHYLENEDIAMINE (1,6-DIAMINOHEXANE) AND ITS S",67,73,102,89,0.3,0.3,0.5,0.5,
Export,AL,24,722540,FLAT-ROLLED ALLOY STEEL (OTHER THAN STAINLESS) NOT,131,110,100,88,0.6,0.5,0.5,0.5,
Export,AL,25,10511,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G (6.53",44,63,71,78,0.2,0.3,0.3,0.5,
Export,AL,-1,0,Total_25,13908,14061,13883,11306,63.8,65.7,66.7,66,
Import,AL,1,270900,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS,",2081,2778,2414,1425,8.8,10.6,8.5,5.6,
Import,AL,2,840734,SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PR,925,736,678,908,3.9,2.8,2.4,3.6,
Import,AL,3,870829,PARTS AND ACCESSORIES OF BODIES (INCLUDING CABS) F,835,806,779,695,3.5,3.1,2.7,2.7,
Import,AL,4,870899,"PARTS AND ACCESSORIES FOR MOTOR VEHICLES, NESOI",586,488,494,474,2.5,1.9,1.7,1.9,
Import,AL,5,870840,GEAR BOXES FOR MOTOR VEHICLES,634,437,399,470,2.7,1.7,1.4,1.8,
Import,AL,6,854430,INSULATED IGNITION WIRING SETS AND OTHER WIRING SE,196,280,362,461,0.8,1.1,1.3,1.8,
Import,AL,7,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",773,1343,863,460,3.3,5.1,3,1.8,
Import,AL,8,841112,TURBOJETS OF A THRUST EXCEEDING 25 KN,355,658,1514,422,1.5,2.5,5.3,1.7,
Import,AL,9,870894,"STEERING WHEELS, STEERING COLUMNS AND STEERING BOX",405,382,440,420,1.7,1.5,1.5,1.6,
Import,AL,10,870830,BRAKES AND SERVO-BRAKES; PARTS THEREOF,299,367,463,408,1.3,1.4,1.6,1.6,
Import,AL,11,940190,"PARTS OF SEATS (EXCEPT PARTS OF MEDICAL, DENTIST',",542,574,525,397,2.3,2.2,1.8,1.6,
Import,AL,12,840820,COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON EN,352,254,375,301,1.5,1,1.3,1.2,
Import,AL,13,720712,"SEMIFINISHED PRODUCTS OF IRON OR NONALLOY STEEL, U",0,83,274,298,0,0.3,1,1.2,
Import,AL,14,950300,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELE",18,105,261,297,0.1,0.4,0.9,1.2,
Import,AL,15,852721,"RADIOBROADCAST RECEIVERS FOR MOTOR VEHICLES, COMBI",263,215,322,295,1.1,0.8,1.1,1.2,
Import,AL,16,760120,"ALUMINUM ALLOYS, UNWROUGHT",202,291,229,285,0.9,1.1,0.8,1.1,
Import,AL,17,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",164,188,232,253,0.7,0.7,0.8,1,
Import,AL,18,850760,LITHIUM ION BATTERIES,21,10,58,239,0.1,0,0.2,0.9,
Import,AL,19,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,313,258,254,235,1.3,1,0.9,0.9,
Import,AL,20,840991,PARTS FOR USE WITH SPARK-IGNITION INTERNAL COMBUST,257,240,253,235,1.1,0.9,0.9,0.9,
Import,AL,21,870892,MUFFLERS AND EXHAUST PIPES FOR MOTOR VEHICLES,60,76,179,227,0.3,0.3,0.6,0.9,
Import,AL,22,870870,ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR,207,191,221,205,0.9,0.7,0.8,0.8,
Import,AL,23,854370,"ELECTRICAL MACHINES AND APPARATUS, HAVING INDIVIDU",131,133,171,204,0.6,0.5,0.6,0.8,
Import,AL,24,711292,"WASTE AND SCRAP OF PLATINUM, INCLUDING METAL CLAD",116,118,165,198,0.5,0.5,0.6,0.8,
Import,AL,25,851521,ELECTRIC MACHINES AND APPARATUS FOR RESISTANCE WEL,148,28,48,189,0.6,0.1,0.2,0.7,
Import,AL,-1,0,Total_25,9883,11038,11971,10000,41.9,42.2,42.1,39.2,
Export,AZ,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2170,2535,2689,1880,10.4,11.3,10.9,9.5,
Export,AZ,2,260300,COPPER ORES AND CONCENTRATES,1054,1022,1710,1309,5.0,4.5,6.9,6.6,
Export,AZ,3,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEGRATED",896,943,843,790,4.3,4.2,3.4,4.0,
Export,AZ,4,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",849,936,878,632,4.1,4.2,3.6,3.2,
Export,AZ,5,930690,"BOMBS, GRENADES, TORPEDOES, MINES, MISSILES AND SI",698,627,799,434,3.3,2.8,3.2,2.2,
Export,AZ,6,853890,PARTS FOR ELECTRICAL APPARATUS FOR ELECTRICAL CIRC,454,498,489,372,2.2,2.2,2.0,1.9,
Export,AZ,7,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",382,501,589,365,1.8,2.2,2.4,1.8,
Export,AZ,8,854150,"SEMICONDUCTOR DEVICES, EXCEPT PHOTOSENSITIVE AND P",418,452,406,333,2.0,2.0,1.6,1.7,
Export,AZ,9,300490,"MEDICAMENTS, IN MEASURED DOSES, ETC. (EXCLUDING VA",163,180,299,280,0.8,0.8,1.2,1.4,
Export,AZ,10,901890,"INSTRUMENTS AND APPLIANCES FOR MEDICAL, SURGICAL O",38,44,139,273,0.2,0.2,0.6,1.4,
Export,AZ,11,848690,MACHINES AND APPARATUS OF A KIND USED FOR THE MANU,193,219,196,251,0.9,1.0,0.8,1.3,
Export,AZ,12,853669,ELECTRICAL PLUGS AND SOCKETS FOR A VOLTAGE NOT EXC,373,411,333,237,1.8,1.8,1.3,1.2,
Export,AZ,13,271121,"NATURAL GAS, GASEOUS",214,179,194,217,1.0,0.8,0.8,1.1,
Export,AZ,14,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",198,232,237,212,0.9,1.0,1.0,1.1,
Export,AZ,15,880212,"HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 2,000 K",0,0,630,185,0.0,0.0,2.6,0.9,
Export,AZ,16,848180,"TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIP",173,185,208,166,0.8,0.8,0.8,0.8,
Export,AZ,17,902190,ARTIFICIAL PARTS OF THE BODY NESOI; AND PARTS AND,165,145,169,158,0.8,0.6,0.7,0.8,
Export,AZ,18,847150,DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.,98,155,161,157,0.5,0.7,0.7,0.8,
Export,AZ,19,392690,"ARTICLES OF PLASTICS, NESOI",153,161,175,155,0.7,0.7,0.7,0.8,
Export,AZ,20,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",71,83,52,141,0.3,0.4,0.2,0.7,
Export,AZ,21,901839,"MEDICAL ETC. NEEDLES NESOI, CATHETERS, CANNULAE AN",128,115,148,139,0.6,0.5,0.6,0.7,
Export,AZ,22,853690,"ELECTRICAL APPARATUS FOR SWITCHING, PROTECTING OR",188,183,195,128,0.9,0.8,0.8,0.6,
Export,AZ,23,848620,MACHINES AND APPARATUS FOR THE MANUFACTURE OF SEMI,74,57,69,121,0.4,0.3,0.3,0.6,
Export,AZ,24,854449,"INSULATED ELECTRIC CONDUCTORS, FOR A VOLTAGE NOT E",146,181,158,117,0.7,0.8,0.6,0.6,
Export,AZ,25,854370,"ELECTRICAL MACHINES AND APPARATUS, HAVING INDIVIDU",97,96,92,115,0.5,0.4,0.4,0.6,
Export,AZ,-1,0,Total_25,9395,10140,11860,9167,44.9,45.0,48.1,46.5,
Import,AZ,1,880240,"AIRPLANES AND OTHER AIRCRAFT NESOI, OF AN UNLADEN",673,97,197,1544,3.3,0.4,0.7,6.0,
Import,AZ,2,848620,MACHINES AND APPARATUS FOR THE MANUFACTURE OF SEMI,453,672,2362,729,2.2,3.0,8.9,2.8,
Import,AZ,3,70200,"TOMATOES, FRESH OR CHILLED",462,547,557,651,2.3,2.4,2.1,2.5,
Import,AZ,4,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEGRATED",204,307,506,621,1.0,1.4,1.9,2.4,
Import,AZ,5,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",257,293,551,592,1.3,1.3,2.1,2.3,
Import,AZ,6,854140,"PHOTOSENSITIVE SEMICONDUCTOR DEVICES, INCLUDING PH",307,273,365,536,1.5,1.2,1.4,2.1,
Import,AZ,7,70960,FRUITS OF THE GENUS CAPSICUM (PEPPERS) OR OF THE G,379,448,505,450,1.8,2.0,1.9,1.8,
Import,AZ,8,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",501,679,756,438,2.4,3.0,2.8,1.7,
Import,AZ,9,854430,INSULATED IGNITION WIRING SETS AND OTHER WIRING SE,363,411,445,363,1.8,1.8,1.7,1.4,
Import,AZ,10,850440,ELECTRICAL STATIC CONVERTERS; POWER SUPPLIES FOR A,113,141,270,361,0.6,0.6,1.0,1.4,
Import,AZ,11,740311,REFINED COPPER CATHODES AND SECTIONS OF CATHODES,228,208,119,355,1.1,0.9,0.4,1.4,
Import,AZ,12,70993,"PUMPKINS, SQUASH AND GOURDS (CUCURBITA SPP.), FRES",254,268,259,347,1.2,1.2,1.0,1.4,
Import,AZ,13,80610,"GRAPES, FRESH",182,192,323,323,0.9,0.9,1.2,1.3,
Import,AZ,14,853669,ELECTRICAL PLUGS AND SOCKETS FOR A VOLTAGE NOT EXC,344,359,331,312,1.7,1.6,1.2,1.2,
Import,AZ,15,70700,"CUCUMBERS AND GHERKINS, FRESH OR CHILLED",224,256,300,302,1.1,1.1,1.1,1.2,
