Name,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019,Value2020
(41040) Rugs,1080733,1103086,1113729,1113102,1030004,971253,994498,972291,906680,748396
"(41050) Cell phones and other household goods, n.e.c.",20495501,21628067,23602707,25580930,25615544,24892633,27323385,27050030,27453596,24230135
(41110) Pleasure boats and motors,2536704,2613960,2450659,2436597,2147421,1992024,2248192,2355375,2461713,2144797
"(41120) Toys, games, and sporting goods",10528231,10451871,10287974,10397413,9394201,9172048,9973168,9999710,9257480,8140786
(41140) Musical instruments,2445159,2336270,2176124,2042997,1770479,1765904,1929234,2076124,2071551,1802015
(41200) Televisions and video equipment,5708804,5051649,4359780,4578692,4801384,4831891,4965770,4522500,4148573,2480331
"(41210) Stereo equipment, etc.",1945634,2077189,2036640,2128612,2029825,1906684,2050950,1962946,2039711,2298483
(41220) Recorded media,4223504,3384535,3090400,2680251,2274468,1963088,1798019,1707339,1562733,1325658
(41300) Numismatic coins,1033050,1105419,1029355,928688,853012,660045,751847,897572,1072390,1450401
"(41310) Jewelry, etc.",9082199,10297413,11672590,12567922,11809595,11686218,12324216,12072024,11388206,6958059
"(41320) Artwork, antiques, stamps, etc.",7325160,7686155,7942129,10405281,11218620,11330749,11866713,14602832,12718848,8247598
"(42000) Nursery stock, etc.",423746,400532,417597,421378,411240,427109,447219,460120,457341,427538
(42100) Gem diamonds,19255706,18121092,20904616,23009524,20208616,21083858,21040132,22396025,20100561,11632175
"(50000) Military aircraft, complete",1770279,3446309,2822440,5057912,3688831,4541273,2575248,1393637,3099150,2427161
"(50010) Aircraft launching gear, parachutes, etc.",315277,358144,471633,395624,415917,335386,442797,361449,275504,232600
(50020) Engines and turbines for military aircraft,1991838,2175815,2285083,2544865,2581906,2263831,2716804,2910094,3062051,2686866
"(50030) Military trucks, armored vehicles, etc.",967936,920647,1035429,876140,1182772,1736218,1785103,1487422,914351,913370
(50040) Military ships and boats,0,28400,30000,297162,260291,24366,11185,15012,9110,38756
"(50050) Tanks, artillery, missiles, rockets, guns and ammunition",3514532,3619080,4137966,4048405,4556261,4959047,4822905,5040094,5568225,3740280
(50060) Military apparel and footwear,674227,625333,689465,1177893,1240582,1050417,833109,914881,927682,898349
(50070) Parts for military-type goods,5677039,6057562,6145305,6157016,6006700,6348261,5776236,6213824,6731630,6021504
(60000) Minimum value shipments,32298884,33624674,34712194,34945770,32496423,31107976,32927047,35907702,36114204,28755199
(60010) Miscellaneous domestic exports and special transactions,5677796,5724824,5924206,6534084,6974366,7509606,8381642,9107075,9555915,7195467
(60040) Undocumented exports to Canada,0,0,0,0,0,0,0,0,0,5697866
TOTAL,1482507755,1545820840,1578516880,1621873793,1503328350,1451459684,1547195403,1665688484,1643160853,1431406392
